symbol,model,stable,mse_h1,mse_h5,mse_h10,mse_avg
.AEX,HAR,True,0.31674878328452527,0.42600216138431024,0.51562892903765,0.41945995790216184
.AEX,SAS_q1_n200,True,0.3167772976935394,0.4497604628685154,0.5149641429203138,0.4271673011607895
.AEX,SAS_q2_n200,True,0.3168298094353853,0.4230061537992836,0.5413652610950602,0.4270670747765764
.AEX,MixedQ_12,True,0.31642285188039276,0.4274178040287311,0.5130410858496391,0.41896058058625435
.AEX,MixedQ_123,True,0.3171042835324871,0.42737986191769906,0.5108452804838817,0.41844314197802257
.AEX,MixedQ_23,True,0.3139985097059989,0.4249277816156641,0.5165977318046193,0.4185080077087608
.SPX,HAR,True,0.3980866130383181,0.5556603382158993,0.6458778599183947,0.5332082703908707
.SPX,SAS_q1_n200,True,0.4873059435763898,0.5549788171221999,0.6476484288740765,0.5633110631908888
.SPX,SAS_q2_n200,True,0.3941691628886105,0.5629117753309016,0.6574478092892068,0.538176249169573
.SPX,MixedQ_12,True,0.3957578821682454,0.5640967487652484,0.6451927891846003,0.5350158067060314
.SPX,MixedQ_123,True,0.4070192881410598,0.572013380445545,0.7272567080521086,0.5687631255462379
.SPX,MixedQ_23,True,0.39597012295905976,0.5621673994763215,0.6659727334247811,0.5413700852867208
