config,h1_count,h1_frac,h5_count,h5_frac,h10_count,h10_frac,total_count,avg_mse,high_var
HAR,0,0.0,1,0.03333333333333333,2,0.06666666666666667,3,0.46593168412492353,False
diag_200_p1q1,28,0.9333333333333333,17,0.5666666666666667,20,0.6666666666666666,65,0.4879665770520829,True
multi_diag_p0_p1,29,0.9666666666666667,28,0.9333333333333333,28,0.9333333333333333,85,0.4694341692941167,False
multi_diag_p0_p1q2,26,0.8666666666666667,26,0.8666666666666667,27,0.9,79,0.4647668413445212,False
multi_diag_triplet,24,0.8,13,0.43333333333333335,13,0.43333333333333335,50,0.4704431477543071,False
