config,h1_count,h1_frac,h5_count,h5_frac,h10_count,h10_frac,total_count,avg_mse,high_var
HAR,18,0.2,74,0.8222222222222222,87,0.9666666666666667,179,0.48189053012634514,False
NLinear,5,0.05555555555555555,5,0.05555555555555555,4,0.044444444444444446,14,0.4953855907519573,False
DLinear,16,0.17777777777777778,41,0.45555555555555555,35,0.3888888888888889,92,0.48398174485949236,False
GARCH,0,0.0,0,0.0,1,0.011111111111111112,1,0.5098810521774396,False
SAS_same,46,0.5111111111111111,69,0.7666666666666667,46,0.5111111111111111,161,0.4992730573971012,True
SAS_diff,57,0.6333333333333333,75,0.8333333333333334,51,0.5666666666666667,183,0.5095485850611586,True
SAS_q1,69,0.7666666666666667,77,0.8555555555555555,48,0.5333333333333333,194,42.95724897363521,True
