experiment,model,h1_mean,h1_std,h5_mean,h5_std,h10_mean,h10_std,avg_mse,mcs_h1,mcs_h1_frac,mcs_h5,mcs_h5_frac,mcs_h10,mcs_h10_frac,mcs_total,n_symbols
Q3_sn,HAR,0.4002,0.0721,0.5090,0.0928,0.5827,0.1053,0.4973,1,0.03,4,0.13,14,0.47,19,30
Q3_sn,q1_n200_sn95,0.3973,0.0713,0.5065,0.0913,0.5914,0.1058,0.4984,13,0.43,19,0.63,23,0.77,55,30
Q3_sn,q2_n200_sn85,0.3978,0.0717,0.5137,0.0929,0.6112,0.1314,0.5075,18,0.60,9,0.30,13,0.43,40,30
Q3_sn,q2_n200_sn90,0.3968,0.0718,0.5104,0.0929,0.5969,0.1094,0.5014,30,1.00,30,1.00,27,0.90,87,30
Q3_sn,q2_n200_sn95,0.3958,0.0718,0.5070,0.0934,0.5837,0.1145,0.4955,24,0.80,24,0.80,24,0.80,72,30
