experiment,model,h1_mean,h1_std,h5_mean,h5_std,h10_mean,h10_std,avg_mse,mcs_h1,mcs_h1_frac,mcs_h5,mcs_h5_frac,mcs_h10,mcs_h10_frac,mcs_total,n_symbols
Q1_qdegree,HAR,0.4010,0.0732,0.5095,0.0944,0.5829,0.1071,0.4978,4,0.14,5,0.17,8,0.28,17,29
Q1_qdegree,q1_n200_sn95,0.3980,0.0724,0.5057,0.0928,0.5920,0.1076,0.4986,26,0.90,26,0.90,29,1.00,81,29
Q1_qdegree,q2_n200_sn95,0.3966,0.0729,0.5075,0.0950,0.5838,0.1166,0.4959,29,1.00,27,0.93,25,0.86,81,29
Q1_qdegree,q3_n200_sn95,0.3984,0.0751,0.5181,0.1137,0.5996,0.1385,0.5054,18,0.62,18,0.62,18,0.62,54,29
