experiment,model,h1_mean,h1_std,h5_mean,h5_std,h10_mean,h10_std,avg_mse,mcs_h1,mcs_h1_frac,mcs_h5,mcs_h5_frac,mcs_h10,mcs_h10_frac,mcs_total,n_symbols
Q2_nsize,HAR,0.4010,0.0732,0.5095,0.0944,0.5829,0.1071,0.4978,0,0.00,1,0.03,1,0.03,2,29
Q2_nsize,q1_n200_sn95,0.3980,0.0724,0.5057,0.0928,0.5920,0.1076,0.4986,10,0.34,10,0.34,13,0.45,33,29
Q2_nsize,q2_n100_sn95,0.4046,0.0874,0.5082,0.0956,0.5872,0.1164,0.5000,28,0.97,24,0.83,24,0.83,76,29
Q2_nsize,q2_n200_sn95,0.3966,0.0729,0.5075,0.0950,0.5838,0.1166,0.4959,25,0.86,29,1.00,28,0.97,82,29
Q2_nsize,q2_n400_sn95,0.3972,0.0737,0.5073,0.0949,0.5852,0.1174,0.4966,26,0.90,27,0.93,21,0.72,74,29
