config,h1,h5,h22,avg
NLinear_L60,0.5225844848310363,0.7042062369200984,1.0244422790282688,0.7504110002598011
NLinear_L40,0.5233211271022863,0.7072081263743987,1.0334986177309609,0.7546759570692153
NLinear_L90,0.5236474002216908,0.7117661046696323,1.0292719328583144,0.7548951459165458
NLinear_L30,0.5221049583198376,0.7131537880584758,1.047055021423617,0.7607712559339768
NLinear_L20,0.5233823413932871,0.7125110311401138,1.062626473160752,0.7661732818980509
NLinear_L15,0.5263385815017572,0.7200749622724416,1.0947893634278132,0.7804009690673374
NLinear_L10,0.5304010228082977,0.7261911963918503,1.125853403079665,0.7941485407599377
NLinear_L05,0.5372961573031962,0.7468705492917787,1.1814027259075761,0.8218564775008503
HAR,0.5318894567474096,0.7913493269069161,1.4275993365398365,0.9169460400647207
DLinear_L10,0.5386333266564063,0.7999632074103495,1.4728332223902056,0.9371432521523205
DLinear_L15,0.5371144261734326,0.809346029241249,1.4690872684937357,0.9385159079694724
DLinear_L20,0.541046429176069,0.8253090580790686,1.4628914974915668,0.9430823282489014
DLinear_L05,0.5407064864236464,0.8225775100139959,1.4935532766008515,0.9522790910128313
HAR_Ridge,0.5323696192317892,0.8280841723971224,1.5262686513537915,0.9622408143275676
DLinear_L30,0.5458862986356502,0.8268232641820663,1.514393708241618,0.9623677570197781
DLinear_L40,0.5501552386011358,0.8711878774187795,1.5275385226031284,0.9829605462076811
DLinear_L60,0.5545600202807052,0.8830697847376605,1.5118669842636345,0.9831655964273334
DLinear_L90,0.5713296888882624,0.9009921537036413,1.6020622128904756,1.0247946851607932
