symbol,config,mse_h1,mse_h5,mse_h22,mse_avg
.AEX,HAR,0.31624330455506006,0.4270176382156363,0.617398768256555,0.4535532370090838
.AEX,HAR_Ridge,0.31607736819895854,0.4268969610600324,0.6186558949437851,0.45387674140092543
.AEX,diag_n100_sn0.80,0.316436351777147,0.44773645551664276,0.6290924166700324,0.46442174132127406
.AEX,diag_n100_sn0.90,0.3159542466859954,0.43023642259545886,0.631231257596064,0.4591406422925061
.AEX,diag_n100_sn0.95,0.31776058615081126,0.4239909698445079,0.61361244919947,0.45178800173159644
.AEX,diag_n100_sn0.99,0.3145971501683528,0.4258390311177099,0.6237036912535807,0.4547132908465478
.AEX,diag_n200_sn0.90,0.31984602447570554,0.42699751176532685,0.6382489248095757,0.46169748701686936
.AEX,diag_n200_sn0.95,0.3174537339960239,0.4259122161914575,0.6346640119858874,0.4593433207244562
.AEX,diag_p2_n100_sn0.90,0.3150242545891296,0.4267157493683942,0.6875812455574385,0.4764404165049874
.AEX,diag_p2_n100_sn0.95,0.3127724787754227,0.42736437951323875,0.6852536842811613,0.4751301808566075
.AEX,aug_n100_sn0.90,0.3790310676435276,0.4288975273699263,0.6608710456133615,0.48959988020893846
.AEX,aug_n100_sn0.95,0.3155129046224896,0.4327314891103935,0.6361534403588577,0.46146594469724694
.AORD,HAR,0.4209453436222017,0.49636390807267056,0.6377943607832376,0.5183678708260366
.AORD,HAR_Ridge,0.42093224682542935,0.4960722624456913,0.6381217404881141,0.5183754165864115
.AORD,diag_n100_sn0.80,0.41927231174590585,0.504905332769451,0.6964212596480172,0.5401996347211248
.AORD,diag_n100_sn0.90,0.41803399405194447,0.5182555446345293,0.6744296286153516,0.5369063891006084
.AORD,diag_n100_sn0.95,0.41892929667319134,0.5004611512125892,0.6479461232326296,0.5224455237061366
.AORD,diag_n100_sn0.99,0.41618243446450487,0.4876568912555925,0.6318656618069489,0.5119016625090155
.AORD,diag_n200_sn0.90,0.41779594804692144,0.507109609726749,0.6762988985918451,0.5337348187885053
.AORD,diag_n200_sn0.95,0.4177886791629785,0.491135121527332,0.6524149946245849,0.5204462651049652
.AORD,diag_p2_n100_sn0.90,0.41915218950186867,0.5173471209538296,0.7321353096472517,0.5562115400343166
.AORD,diag_p2_n100_sn0.95,0.41763269358233707,0.5003179222344617,0.7311636504182029,0.5497047554116672
.AORD,aug_n100_sn0.90,0.4187930109290622,0.49744021188087545,0.6779344443907807,0.5313892224002394
.AORD,aug_n100_sn0.95,0.41808037369043055,0.4940958451939749,0.6510181746692214,0.521064797851209
.BFX,HAR,0.33059061222688285,0.4399695670152192,0.617107240096723,0.462555806446275
.BFX,HAR_Ridge,0.3305372249254199,0.43989352394460074,0.6188463743292407,0.46309237439975376
.BFX,diag_n100_sn0.80,0.3293698269472379,0.4447112914094029,0.6465841922061586,0.4735551035209331
.BFX,diag_n100_sn0.90,0.32783909057159233,0.4420013575035406,0.6315180508314227,0.4671194996355185
.BFX,diag_n100_sn0.95,0.32839447533961325,0.43780440482471045,0.6098964042420796,0.45869842813546774
.BFX,diag_n100_sn0.99,0.32701138629509263,0.4353049543767649,0.6023426594093031,0.4548863333603869
.BFX,diag_n200_sn0.90,0.4451733104066517,0.43974216870829486,0.6133275541722657,0.4994143444290707
.BFX,diag_n200_sn0.95,0.34043331727864445,0.43690776306170864,0.6076533607365273,0.46166481369229345
.BFX,diag_p2_n100_sn0.90,0.3269684593560539,0.4419692645844312,0.6331895497230532,0.4673757578878461
.BFX,diag_p2_n100_sn0.95,0.32583166562584226,0.4402691417741571,0.6200061016336592,0.4620356363445528
.BFX,aug_n100_sn0.90,0.33008936338273653,0.4421002570257859,0.6180573060307121,0.4634156421464115
.BFX,aug_n100_sn0.95,0.32918447584196464,0.43758544038772534,0.6112818364779794,0.45935058423588976
.BSESN,HAR,0.39281686453393394,0.4930065201835917,0.6377506713800425,0.5078580186991893
.BSESN,HAR_Ridge,0.3926334116127455,0.494349437214024,0.6444564384402046,0.5104797624223246
.BSESN,diag_n100_sn0.80,0.39130371082928095,0.49715485034138945,3.384172726521396,1.4242104292306887
.BSESN,diag_n100_sn0.90,0.3898281842451324,1.639373312215141,0.6447775596996808,0.891326352053318
.BSESN,diag_n100_sn0.95,0.387654481769763,0.4853084010861082,0.62762787744821,0.5001969201013604
.BSESN,diag_n100_sn0.99,0.38556064378506905,0.48219802852669535,0.617612718798837,0.49512379703686715
.BSESN,diag_n200_sn0.90,0.3885875813861124,0.4921183490238166,0.6548039434589081,0.5118366246229457
.BSESN,diag_n200_sn0.95,0.38691133379700127,0.4949605781408374,0.6255167849456306,0.5024628989611565
.BSESN,diag_p2_n100_sn0.90,0.3910672299374075,0.48921328463125757,0.6589612934251723,0.5130806026646124
.BSESN,diag_p2_n100_sn0.95,0.38638862017981235,0.48608610126294866,0.6452147040266243,0.5058964751564617
.BSESN,aug_n100_sn0.90,0.3899489168100521,0.5239177546055408,0.6455171609715169,0.5197946107957033
.BSESN,aug_n100_sn0.95,0.38857806103953607,0.4854704674746394,0.626922697289808,0.5003237419346611
.BVSP,HAR,0.466815856674812,0.59973280829223,0.9184396297199389,0.6616627648956602
.BVSP,HAR_Ridge,0.4666844993672648,0.5999995212223258,0.9239109155936526,0.6635316453944143
.BVSP,diag_n100_sn0.80,0.46353753620195065,0.5848499708027151,0.8927374890642548,0.6470416653563068
