sym,dgp_seed,horizon,alpha_idx,alpha,log10_alpha,oos_mse
.AEX,42,1,0,0.0001,-4.0,0.4414444044840152
.AEX,42,1,1,0.00017782794100389227,-3.75,0.43454717357781425
.AEX,42,1,2,0.00031622776601683794,-3.5,0.5017295901547628
.AEX,42,1,3,0.0005623413251903491,-3.25,0.4338461542573953
.AEX,42,1,4,0.001,-3.0,0.42101023193000126
.AEX,42,1,5,0.0017782794100389228,-2.75,0.41850738524589104
.AEX,42,1,6,0.0031622776601683794,-2.5,0.41820201610670327
.AEX,42,1,7,0.005623413251903491,-2.25,0.4179500136766934
.AEX,42,1,8,0.01,-2.0,0.41771934413773804
.AEX,42,1,9,0.01778279410038923,-1.75,0.4174948779788727
.AEX,42,1,10,0.03162277660168379,-1.5,0.41728043068541365
.AEX,42,1,11,0.05623413251903491,-1.25,0.41709960184547457
.AEX,42,1,12,0.1,-1.0,0.41698989555847793
.AEX,42,1,13,0.1778279410038923,-0.75,0.41698097772181675
.AEX,42,1,14,0.31622776601683794,-0.5,0.4170658283810886
.AEX,42,1,15,0.5623413251903491,-0.25,0.4171967122491633
.AEX,42,1,16,1.0,0.0,0.41731854513692135
.AEX,42,1,17,1.7782794100389228,0.25,0.417403049812599
.AEX,42,1,18,3.1622776601683795,0.5,0.41745166919133175
.AEX,42,1,19,5.623413251903491,0.75,0.41748598285850597
.AEX,42,1,20,10.0,1.0,0.41754901198465744
.AEX,42,1,21,17.78279410038923,1.25,0.4177181989160414
.AEX,42,1,22,31.622776601683793,1.5,0.4181251753670223
.AEX,42,1,23,56.23413251903491,1.75,0.4189859798413205
.AEX,42,1,24,100.0,2.0,0.42066154961813623
.AEX,42,1,25,177.82794100389228,2.25,0.42374780200635537
.AEX,42,1,26,316.22776601683796,2.5,0.42913273708972893
.AEX,42,1,27,562.341325190349,2.75,0.4379233912482265
.AEX,42,1,28,1000.0,3.0,0.45119559863584974
.AEX,42,1,29,1778.2794100389228,3.25,0.4697226206487331
.AEX,42,1,30,3162.2776601683795,3.5,0.4943544953406695
.AEX,42,1,31,5623.413251903491,3.75,0.527957690739945
.AEX,42,1,32,10000.0,4.0,0.5783811427724707
.AEX,42,1,33,17782.794100389227,4.25,0.6599888131617883
.AEX,42,1,34,31622.776601683792,4.5,0.7914252967500718
.AEX,42,1,35,56234.13251903491,4.75,0.9881101332214312
.AEX,42,1,36,100000.0,5.0,1.2493533171897044
.AEX,137,1,0,0.0001,-4.0,0.8221889740855122
.AEX,137,1,1,0.00017782794100389227,-3.75,0.5822154501593478
.AEX,137,1,2,0.00031622776601683794,-3.5,0.4774986422153965
.AEX,137,1,3,0.0005623413251903491,-3.25,0.4893316339041063
.AEX,137,1,4,0.001,-3.0,1.8371657230496317
.AEX,137,1,5,0.0017782794100389228,-2.75,0.43835816273132905
.AEX,137,1,6,0.0031622776601683794,-2.5,0.4179115020443326
.AEX,137,1,7,0.005623413251903491,-2.25,4.79065176958063
.AEX,137,1,8,0.01,-2.0,0.41003915372944155
.AEX,137,1,9,0.01778279410038923,-1.75,0.40989009721117986
.AEX,137,1,10,0.03162277660168379,-1.5,0.4096019202057326
.AEX,137,1,11,0.05623413251903491,-1.25,0.4092593201666502
.AEX,137,1,12,0.1,-1.0,0.40890697894687245
.AEX,137,1,13,0.1778279410038923,-0.75,0.4085857318876856
.AEX,137,1,14,0.31622776601683794,-0.5,0.40831985934190973
.AEX,137,1,15,0.5623413251903491,-0.25,0.4081228976340468
