key,model,stable,mse_h1,mse_h5,mse_h10,mse_avg
.SPX_s42,Noiseless,True,0.40505757436064616,0.5633266769739044,0.5431322073519863,0.5038388195621789
.SPX_s42,SAS_same_fixedλ,True,0.4191709461017614,0.6537661120988753,0.802261263198353,0.6250661071329966
.SPX_s42,SAS_same_cvλ,True,0.41994265536428127,0.649865718024237,0.7595973740467219,0.6098019158117467
.SPX_s42,SAS_diff,True,0.407189774558031,0.587993732428375,0.6487038353666997,0.5479624474510353
.SPX_s42,SAS_q1,True,0.4052483679897415,0.5391664736939411,0.48647172415693013,0.47696218861353756
.SPX_s42,HAR,True,0.41377883149831823,0.5308484264339816,0.47308236038964224,0.47256987277398066
.SPX_s42,DLinear,True,0.39863085610072213,0.5256569001010023,0.4670183220911381,0.4637686927642875
.SPX_s42,GARCH,True,0.4409137692205073,0.6631898630510049,0.6798910793166699,0.5946649038627274
.SPX_s137,Noiseless,True,0.2736728124540732,0.34882858694308516,0.3912676088277117,0.33792300274162335
.SPX_s137,SAS_same_fixedλ,True,0.27674836976699396,0.3631669112223006,0.3977387004710273,0.34588466048677396
.SPX_s137,SAS_same_cvλ,True,0.2767675149363535,0.3599899956588152,0.40064356757225733,0.34580035938914194
.SPX_s137,SAS_diff,True,0.2752329697255712,0.36346133473670594,0.40617063647231494,0.348288313644864
.SPX_s137,SAS_q1,True,0.2739165432799095,0.36270899622069813,0.4641499147358385,0.3669251514121487
.SPX_s137,HAR,True,0.28533590720947427,0.36709149303769717,0.43175755177083747,0.36139498400600295
.SPX_s137,DLinear,True,0.27753925742504154,0.37973359968681303,0.4342805590545015,0.36385113872211866
.SPX_s137,GARCH,True,0.2906059784719668,0.4009353276490074,0.46177238707910256,0.3844378977333589
.SPX_s256,Noiseless,True,0.3750216700158328,0.4906349655546006,0.5179474771596364,0.4612013709100233
.SPX_s256,SAS_same_fixedλ,True,0.3774395619738111,0.494433554335098,0.519067087445872,0.46364673458492706
.SPX_s256,SAS_same_cvλ,True,0.3732541065502256,0.4807802800403622,0.5292986601979999,0.4611110155961959
.SPX_s256,SAS_diff,True,0.37753020330678183,0.48431332263888066,0.5136079638160495,0.4584838299205707
.SPX_s256,SAS_q1,True,0.38231713071633444,0.4998564087935825,0.5299427610721797,0.47070543352736555
.SPX_s256,HAR,True,0.38168106735661605,0.4909681571219648,0.5193919238247376,0.46401371610110614
.SPX_s256,DLinear,True,0.37817196061018216,0.5049584282288802,0.5286499743610816,0.470593454400048
.SPX_s256,GARCH,True,0.39617635726693706,0.543301729478226,0.5569158731761961,0.49879798664045305
