sym,dgp_seed,horizon,alpha_idx,alpha,log10_alpha,oos_mse
.SPX,42,1,0,0.0001,-4.0,0.6712684977819547
.SPX,42,1,1,0.00017782794100389227,-3.75,30.27313008419091
.SPX,42,1,2,0.00031622776601683794,-3.5,0.5161277360975812
.SPX,42,1,3,0.0005623413251903491,-3.25,0.48611983933163955
.SPX,42,1,4,0.001,-3.0,0.5045933342556129
.SPX,42,1,5,0.0017782794100389228,-2.75,0.4861729248258236
.SPX,42,1,6,0.0031622776601683794,-2.5,0.48652843475062424
.SPX,42,1,7,0.005623413251903491,-2.25,0.48670128589307693
.SPX,42,1,8,0.01,-2.0,0.48656079003280456
.SPX,42,1,9,0.01778279410038923,-1.75,0.4860905692306505
.SPX,42,1,10,0.03162277660168379,-1.5,0.48541383277133443
.SPX,42,1,11,0.05623413251903491,-1.25,0.48470798560802325
.SPX,42,1,12,0.1,-1.0,0.48411715652110077
.SPX,42,1,13,0.1778279410038923,-0.75,0.48369639919034296
.SPX,42,1,14,0.31622776601683794,-0.5,0.48339925436595144
.SPX,42,1,15,0.5623413251903491,-0.25,0.4831103153982019
.SPX,42,1,16,1.0,0.0,0.4826988619985871
.SPX,42,1,17,1.7782794100389228,0.25,0.4820816445253876
.SPX,42,1,18,3.1622776601683795,0.5,0.48126885661095165
.SPX,42,1,19,5.623413251903491,0.75,0.4803427285295753
.SPX,42,1,20,10.0,1.0,0.4793941217185623
.SPX,42,1,21,17.78279410038923,1.25,0.4785067903864718
.SPX,42,1,22,31.622776601683793,1.5,0.4778134906349673
.SPX,42,1,23,56.23413251903491,1.75,0.4775678246528255
.SPX,42,1,24,100.0,2.0,0.47815612395114215
.SPX,42,1,25,177.82794100389228,2.25,0.4798819240247013
.SPX,42,1,26,316.22776601683796,2.5,0.48235939068101497
.SPX,42,1,27,562.341325190349,2.75,0.4839913120754201
.SPX,42,1,28,1000.0,3.0,0.48296581687188117
.SPX,42,1,29,1778.2794100389228,3.25,0.48101941123622993
.SPX,42,1,30,3162.2776601683795,3.5,0.48953410913432993
.SPX,42,1,31,5623.413251903491,3.75,0.534238653719403
.SPX,42,1,32,10000.0,4.0,0.648461355794634
.SPX,42,1,33,17782.794100389227,4.25,0.8482424566714185
.SPX,42,1,34,31622.776601683792,4.5,1.1099163319900547
.SPX,42,1,35,56234.13251903491,4.75,1.3804610379054862
.SPX,42,1,36,100000.0,5.0,1.611662246857953
.SPX,137,1,0,0.0001,-4.0,0.582661403519352
.SPX,137,1,1,0.00017782794100389227,-3.75,0.5591969574773328
.SPX,137,1,2,0.00031622776601683794,-3.5,0.5626625549901677
.SPX,137,1,3,0.0005623413251903491,-3.25,0.5624215642080332
.SPX,137,1,4,0.001,-3.0,0.565739491135032
.SPX,137,1,5,0.0017782794100389228,-2.75,0.5588963089679522
.SPX,137,1,6,0.0031622776601683794,-2.5,0.5568744446161017
.SPX,137,1,7,0.005623413251903491,-2.25,0.5602133802143947
.SPX,137,1,8,0.01,-2.0,0.5601562703615024
.SPX,137,1,9,0.01778279410038923,-1.75,0.560274998190992
.SPX,137,1,10,0.03162277660168379,-1.5,0.5604230157068002
.SPX,137,1,11,0.05623413251903491,-1.25,0.560615130653173
.SPX,137,1,12,0.1,-1.0,0.5608474616196466
.SPX,137,1,13,0.1778279410038923,-0.75,0.5611014347252519
.SPX,137,1,14,0.31622776601683794,-0.5,0.5613637420930129
.SPX,137,1,15,0.5623413251903491,-0.25,0.561646577720933
.SPX,137,1,16,1.0,0.0,0.5619890130859219
.SPX,137,1,17,1.7782794100389228,0.25,0.5624442972613345
.SPX,137,1,18,3.1622776601683795,0.5,0.5630782497385074
.SPX,137,1,19,5.623413251903491,0.75,0.5639838440952614
.SPX,137,1,20,10.0,1.0,0.5652805837482896
.SPX,137,1,21,17.78279410038923,1.25,0.567055297109342
.SPX,137,1,22,31.622776601683793,1.5,0.5692638001808621
.SPX,137,1,23,56.23413251903491,1.75,0.5717232771307089
.SPX,137,1,24,100.0,2.0,0.5742818871627893
.SPX,137,1,25,177.82794100389228,2.25,0.5770008526274503
.SPX,137,1,26,316.22776601683796,2.5,0.5800921619594452
.SPX,137,1,27,562.341325190349,2.75,0.5836535085967577
.SPX,137,1,28,1000.0,3.0,0.5876274534418358
.SPX,137,1,29,1778.2794100389228,3.25,0.5922150927010744
.SPX,137,1,30,3162.2776601683795,3.5,0.5984064381830411
.SPX,137,1,31,5623.413251903491,3.75,0.6081919910401717
.SPX,137,1,32,10000.0,4.0,0.6240434091479955
.SPX,137,1,33,17782.794100389227,4.25,0.647120335419743
.SPX,137,1,34,31622.776601683792,4.5,0.6751552594148056
.SPX,137,1,35,56234.13251903491,4.75,0.7032318996524287
.SPX,137,1,36,100000.0,5.0,0.7273485661493841
.SPX,256,1,0,0.0001,-4.0,0.41139595823147246
.SPX,256,1,1,0.00017782794100389227,-3.75,0.41885819703717014
.SPX,256,1,2,0.00031622776601683794,-3.5,0.4342780952318221
.SPX,256,1,3,0.0005623413251903491,-3.25,0.41340604757036586
.SPX,256,1,4,0.001,-3.0,0.4155003803106861
.SPX,256,1,5,0.0017782794100389228,-2.75,0.4181164690255968
.SPX,256,1,6,0.0031622776601683794,-2.5,0.41470468709360453
.SPX,256,1,7,0.005623413251903491,-2.25,0.4142215745467226
.SPX,256,1,8,0.01,-2.0,0.41389127712913254
.SPX,256,1,9,0.01778279410038923,-1.75,0.41360280807610117
.SPX,256,1,10,0.03162277660168379,-1.5,0.4133702775266198
.SPX,256,1,11,0.05623413251903491,-1.25,0.4132146103531566
.SPX,256,1,12,0.1,-1.0,0.41315662207680315
.SPX,256,1,13,0.1778279410038923,-0.75,0.41321629353331274
.SPX,256,1,14,0.31622776601683794,-0.5,0.41340889294925515
.SPX,256,1,15,0.5623413251903491,-0.25,0.41373978315019694
.SPX,256,1,16,1.0,0.0,0.41419326456237415
.SPX,256,1,17,1.7782794100389228,0.25,0.41472471816618645
.SPX,256,1,18,3.1622776601683795,0.5,0.41528064689325506
.SPX,256,1,19,5.623413251903491,0.75,0.4158352870961126
.SPX,256,1,20,10.0,1.0,0.4163997074515054
.SPX,256,1,21,17.78279410038923,1.25,0.41700255324442875
.SPX,256,1,22,31.622776601683793,1.5,0.41769538103307635
.SPX,256,1,23,56.23413251903491,1.75,0.4186153986251987
.SPX,256,1,24,100.0,2.0,0.42006455083317257
.SPX,256,1,25,177.82794100389228,2.25,0.4225326503988195
.SPX,256,1,26,316.22776601683796,2.5,0.42663499471452865
.SPX,256,1,27,562.341325190349,2.75,0.43302166272377984
.SPX,256,1,28,1000.0,3.0,0.44255563302440215
.SPX,256,1,29,1778.2794100389228,3.25,0.45731197315203714
.SPX,256,1,30,3162.2776601683795,3.5,0.4821640350364067
.SPX,256,1,31,5623.413251903491,3.75,0.5242456499344699
.SPX,256,1,32,10000.0,4.0,0.5862827002848161
.SPX,256,1,33,17782.794100389227,4.25,0.6573664869500037
.SPX,256,1,34,31622.776601683792,4.5,0.7164849774095227
.SPX,256,1,35,56234.13251903491,4.75,0.7505596383112134
.SPX,256,1,36,100000.0,5.0,0.7631246326067237
