sym,dgp_seed,model_name,q_degree,seed,eff_rank,rank_80,rank_95,rank_99,sv_0,sv_1,sv_2,sv_3,sv_4,sv_5,sv_6,sv_7,sv_8,sv_9,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,sv_18,sv_19,sv_20,sv_21,sv_22,sv_23,sv_24,sv_25,sv_26,sv_27,sv_28,sv_29,sv_30,sv_31,sv_32,sv_33,sv_34,sv_35,sv_36,sv_37,sv_38,sv_39,sv_40,sv_41,sv_42,sv_43,sv_44,sv_45,sv_46,sv_47,sv_48,sv_49
.AEX,42,DGP,2,42,3.365827693408673,2,3,4,407.5459288741862,197.40511346367404,91.85661882074093,47.77120689235479,31.591840431740295,23.323629722984727,15.034645645479248,13.42847256280499,8.25863846571372,7.631053004945339,3.159509475373113,2.80700949176782,1.6577762132757254,1.3869772235301896,0.8460366354942706,0.6585021056673271,0.5313809671518487,0.368123188114566,0.27050844360738996,0.18260029459592553,0.1355696830915169,0.1140026431129916,0.09766050347542225,0.08474740023974214,0.060917327687511416,0.04141265104886791,0.03186741746099804,0.023230120574835735,0.015153704157688791,0.010261290911505952,0.007700742305767254,0.006758118739741575,0.0038359561593003812,0.0028797688091450457,0.0024425116300692096,0.0017534717757590596,0.0008354396083951184,0.0006559027921015871,0.00046403066000923746,0.00046004855305137814,0.0003479193768605779,0.00016174896793768156,0.0001185441538923909,8.145223323208967e-05,7.624466142257192e-05,5.797367437256453e-05,2.4893715412802496e-05,2.0645020527774464e-05,1.0529336436162379e-05,5.336836626887302e-06
.AEX,42,SAS_diff,2,999,3.394683953885859,1,3,5,296.24643825308607,101.55362821963791,65.52867729590805,52.51857426142987,26.67797721250196,17.502928870413697,11.78466879762897,8.208541372655649,5.753990365485888,4.333149467606164,2.741050065130761,2.153776141731792,1.3582593592897372,1.2182204082894772,0.893680771711267,0.5800461007115565,0.48480824305180564,0.25432578917931836,0.24135677287425591,0.19101328743842128,0.13990253090790364,0.12286019629148064,0.09457506573492733,0.084405079876914,0.07035382039073253,0.06126188593902438,0.049612678119513184,0.036978743079152866,0.031113021658847034,0.0279444334582298,0.021225033585552527,0.019275857694986152,0.014925023811489196,0.013432869372702676,0.008223208477633172,0.007360857496602039,0.005426436457888932,0.004478214948342952,0.0034350559048636343,0.0026037438148672353,0.0021173457887871667,0.0014287489629247253,0.0013082752162480685,0.0009585474232282922,0.0006829832943403115,0.0005231919776480621,0.0003687686159384454,0.00034941889849534724,0.00026348582457849727,0.00012021411443478908
.AEX,42,SAS_q1,1,1002,2.7309801628086734,2,2,3,154.28489386346178,124.44820646546809,25.515651473576593,12.279669870192327,6.162983121526946,3.2114116131466037,2.120254909456853,0.9653378390424764,0.649010104407102,0.3241307242579437,0.29421846638625504,0.2011958529948296,0.16106398528951027,0.12467146242809175,0.11936125235004924,0.07093365676402857,0.058376066052578744,0.04463081860852748,0.027592999282095004,0.017155026542162596,0.01382358717718395,0.01004364609302276,0.005451765380569698,0.0034637007612437105,0.00275563183938825,0.0016063769792598371,0.0010861042728778616,0.0007873359544333238,0.0006980377690443306,0.0004981600542492302,0.000410743931096329,0.0002771376676459727,0.0001818076781166933,0.00011492442236821565,0.00010748827987251657,7.016569602987918e-05,4.5235797719592676e-05,2.6090292390939988e-05,1.1216453086951594e-05,9.311770673401684e-06,7.933977920772288e-06,3.4424852620705542e-06,2.3852341909815216e-06,2.1308879568781484e-06,1.5555253477599217e-06,9.674402677190083e-07,4.1636145684449e-07,3.6051049723067645e-07,2.993041891726601e-07,6.285657386550788e-08
.AEX,137,DGP,2,137,2.4563955179950163,1,2,4,806.7582504130539,157.26782706079115,112.5602692987208,75.16110999730593,36.861556216948216,32.093339131758704,22.477600094639946,17.61222571805068,12.665276356402021,10.906807727805875,6.688924065646575,6.019215234641165,3.5618096387708076,2.451244795656386,1.9202608360851445,0.9418120130113705,0.8831523839326542,0.43417199451186517,0.3273612112115594,0.3135930093752886,0.23180358164077547,0.15437236940133758,0.13069251873895862,0.1027356163518967,0.0994044646826967,0.06712568489873788,0.04889652640792495,0.04513024750715916,0.033288357363724784,0.02760487626181399,0.024045343335304302,0.01692018417987579,0.012538799489275871,0.009823098626078169,0.008879033547684625,0.006050246952980345,0.005145774857912675,0.003922755657019657,0.0027553553526326272,0.0020066313468987116,0.0016579606600536348,0.001275824390494567,0.0008251043722346483,0.0007694918324609504,0.0004677359198578039,0.000273109113409291,0.0002566153743122244,0.00011507997584303581,8.309573017949027e-05,3.425319168270692e-05
.AEX,137,SAS_diff,2,1000,2.9959724139736195,1,3,4,513.8515748763272,179.7045783923824,124.72796547592078,54.13904186611421,30.599280731558387,25.59682048618995,12.509740391673866,9.801066115198678,5.7041653628238,5.0893743580277375,3.0643339137946146,2.116558367027184,1.9652908066256043,1.4653699855867657,0.8837845219878417,0.6555700065326968,0.4246876434270354,0.4003040759388566,0.28660143788366266,0.23865283242792215,0.18710787609599974,0.13322433012493537,0.11570977997721144,0.10689772566363957,0.09039527398138099,0.05727497318256243,0.04539923632878238,0.04201507207633391,0.034421306665958364,0.02604755324592236,0.022272378560150526,0.014673667149213213,0.012621323067782983,0.009061124116162356,0.008097986366151019,0.006211569230079002,0.005571725123995773,0.0024653717942716745,0.0023930337665389392,0.0015754936590962568,0.0011121814494731526,0.0010402544419447054,0.0006804411919285383,0.0004299779368708114,0.0002871942811873472,0.00020667273753398801,0.0001165911803027972,0.00010089192883322062,5.015960412667049e-05,3.2399057186429684e-05
.AEX,137,SAS_q1,1,1003,2.343812813918846,2,2,3,226.61416577207464,110.24660064062172,23.04862307962359,12.39003749898213,5.827944327611188,3.0292263965081765,2.372714404110425,1.3154153745145685,0.9991471393388697,0.5975959957989542,0.38677712466369507,0.2678530114189616,0.2566401649941642,0.1684300327117257,0.12265130611147584,0.09469894076817688,0.06613177404077426,0.056511106106757095,0.049365017915975605,0.03122269714606655,0.025165958522837248,0.021441533848791234,0.012956213830408042,0.01189599634951352,0.009194737123656559,0.005850361796604772,0.004710710934671205,0.0038804580308365124,0.0019237509540834757,0.0014637614320632984,0.001393407954274161,0.001204666538618869,0.0005983300384850515,0.0004924049990752894,0.00029087066303512164,0.00019545984749071724,0.00016339711331105064,0.0001345937161201817,5.6514461918621965e-05,5.123350548877392e-05,3.566574900291833e-05,2.7641829623239144e-05,9.665119442177694e-06,5.929108688557123e-06,4.462037035980447e-06,3.0760870841338725e-06,2.2198981880547466e-06,9.332297996264567e-07,5.341718524798612e-07,1.040207533518172e-07
.AEX,256,DGP,2,256,2.9590838352358553,1,2,4,719.7210913866079,283.2597916393056,138.5093764218232,72.69528772881368,47.44426981922245,27.56078126040814,24.151547133571924,12.468353624439104,11.347335242128048,6.390183133324409,5.293490916287546,3.9989230773743105,2.7766745718581483,1.410951704281106,1.2413953464728733,1.0539860593367298,0.5424333383629236,0.46559156522317896,0.316283976314581,0.28390295382821085,0.1754335040833708,0.1575663596248815,0.13881697245429037,0.0913906050984023,0.07021473374262972,0.04303721327442369,0.03615361665169671,0.027875532865961027,0.02696577416476229,0.018855224356024516,0.013138155709966626,0.008723048107619792,0.006501545931087476,0.0044635315592107955,0.003774471339363874,0.0021575329169913502,0.0017657403382251087,0.0011990730623587403,0.0010882352543755088,0.0007675287694997992,0.00043491458232080806,0.0003364899344973609,0.0002605439412989389,0.00019521088304210187,0.0001372787361804857,0.00011104992548523916,7.719563395362665e-05,2.1831930033220916e-05,1.9255821631424617e-05,1.3002188827714599e-05
.AEX,256,SAS_diff,2,1001,2.463938114952562,1,2,4,995.8773226762152,201.17306353755797,152.81701315800785,95.95430143299016,49.25616131970995,30.9412741175837,27.922518316142042,15.858447502378556,13.7920278012457,9.44107816210139,7.514240273419716,4.755125712287657,4.1512104928352755,2.6501385985204884,2.426376942733955,1.8810217567615948,1.3583113291059412,1.1666210297380817,0.9641079804552023,0.7003838021377504,0.5465829816895508,0.4380095798305648,0.396992014106407,0.3402815949612285,0.2552376516094992,0.18240420453633133,0.14195437728282323,0.12193056669567226,0.10855787358004483,0.07164217381567602,0.05231168022224799,0.04343198292221997,0.036053944915868594,0.018146384840145614,0.015488531230284347,0.011490142009091507,0.007172483774631324,0.006290996366387915,0.004749476203599653,0.004013693472607262,0.00300536227478676,0.0016131676830856382,0.0011820372317926655,0.0007111972729526983,0.0005841640199326417,0.0003710798943228085,0.00029863464980082365,0.00010720334690988718,7.138984001069393e-05,4.209401072720718e-05
.AEX,256,SAS_q1,1,1004,2.347829307361766,1,2,3,372.1809173538922,141.03412334029042,47.280036280267254,22.17989665287241,11.787167214788262,6.907143766733768,4.310774261099813,3.7729408239728843,1.9508723019925063,1.3693247896640566,0.7601423022156526,0.6754952830898115,0.3751202112150117,0.2690245483584064,0.167436199345336,0.11846145760823548,0.0937370625651138,0.08384377331647727,0.05454263410590196,0.03502404713483908,0.03067456558231051,0.018519548823921303,0.013261591368478988,0.011742347285002442,0.008474192651381596,0.0055765989090035524,0.005112141689212468,0.0035539875412723345,0.002364133060330164,0.0016873257953297811,0.0007658323043696983,0.0006313899917943274,0.0005777772742856899,0.000458883757158733,0.00024061399637452977,0.000153141823536081,0.00014199291085994378,0.0001298577497502343,7.527950650104446e-05,4.862514377324974e-05,3.264446987936192e-05,2.277773010340795e-05,1.1311455428281671e-05,1.0152024530402315e-05,4.153433088667345e-06,3.401428357133255e-06,1.6588782549499479e-06,1.1771102996433271e-06,6.979463885430356e-07,2.082111129913525e-07
.AORD,42,DGP,2,42,4.8427673276380885,2,4,7,216.36865516755822,166.5261789678576,91.5147033984413,46.1118292425337,36.46319544011726,25.47322954364926,21.52476430477817,14.570347259437721,10.265242175795349,9.213340965507042,3.9470040405719953,3.2847782321152463,2.2392466136070555,1.4424626363063875,0.9892108098500458,0.6313625568546105,0.4795173694032739,0.3141936849508065,0.28000795864392825,0.20383651198513714,0.14962084701384742,0.1401523139234873,0.10393750320788428,0.07278386556025777,0.05895800767594219,0.04700700387279602,0.037695870958712525,0.027452639329620297,0.01615245167805772,0.013167247416190516,0.009216541297153505,0.007297712502931362,0.004224676204207926,0.0033789946853682805,0.002704975890190418,0.0020386220746613655,0.00096031236571072,0.000605293114154395,0.0005124609303150512,0.00041677174498293794,0.00029733098298055297,0.00017340623657742733,0.00010099899097993755,8.940717332615872e-05,6.814171359132031e-05,5.51769232380472e-05,2.7077513921120234e-05,1.6889718718244984e-05,1.0473022451644674e-05,6.045001848847783e-06
.AORD,42,SAS_diff,2,999,5.402770749311915,3,4,6,155.43549564804994,96.88337350312668,88.56705003315598,56.770830982418005,30.298618254218358,24.242086650746607,14.545675315428905,10.530649623214932,7.0138928480418175,5.447305319534479,3.182488559765777,2.1668618004316893,1.4624980277164914,1.1924122790625484,0.8329559546537605,0.5792630063174593,0.5532612883055545,0.30518646793879756,0.25941324311237496,0.2251828521071251,0.15370764784872562,0.13430989101347598,0.1265512250120304,0.09493717190002161,0.08071014883892495,0.06729627769096794,0.06238677879071818,0.04466891288933315,0.03488487333834808,0.033145309437122905,0.026489669810920477,0.020915193757271074,0.016608437267833308,0.013409111498091479,0.00925710235340882,0.008227075286837056,0.006078870350879149,0.004480128954913487,0.0036698892991378846,0.002730568231389336,0.0016845990295508513,0.001310007890895121,0.0010906382981778042,0.001047211868015872,0.0007005149930427699,0.000621587361049217,0.0004153669525192092,0.00032251784885305325,0.00021417337574458495,0.0001257614948066099
.AORD,42,SAS_q1,1,1002,2.863004933815153,2,2,4,158.94724872500527,86.87914517476534,34.953577760569225,16.390443157464897,7.865221725962135,3.587610255066205,1.8384481336060547,1.0697562523065653,0.6074702856913013,0.3496193319402474,0.29465645468591245,0.2561002779194133,0.17006948923695517,0.1352672854137439,0.11975603832768872,0.08183536329361105,0.060023291868488586,0.04673169645269,0.0341580622156438,0.017978719999620602,0.013677435806263526,0.010527525107653082,0.005650201625327519,0.003885265093546915,0.0028732999921796372,0.0016645511441694767,0.0009466963495169854,0.0008954316060839494,0.0006442668465240801,0.0004499664665709766,0.0003330027666706398,0.00029605706922500676,0.00018480635794880436,0.00011804136413320622,9.975870835300347e-05,7.295740410455388e-05,4.3098037207672774e-05,2.9858669680607793e-05,9.990336160247199e-06,8.622724066003794e-06,7.483245839868935e-06,3.426191901749171e-06,2.4594547880652696e-06,1.7957570002022352e-06,1.4671642224260126e-06,9.710888810645754e-07,3.9091198913558887e-07,3.478724045467473e-07,2.948628032777862e-07,5.4995177116962165e-08
.AORD,137,DGP,2,137,4.150683108707378,2,4,6,394.2808140023241,156.53119635998337,86.0318415836493,67.49488386610692,56.203567290297926,39.62924990254961,27.138259220608823,22.094055996280005,16.8396175619458,12.147366311205671,9.337759408710227,6.378814038564999,3.532298137860474,3.0418061225153017,1.9424133520032871,1.2462228404144642,1.0596488075445425,0.5713791612597469,0.4226454510521514,0.3597922735544899,0.2680568982074182,0.1869228500680166,0.17726537035526396,0.14934438298662037,0.1451413812338118,0.08466866827326791,0.06656335640401752,0.049477997104461935,0.04462741167469794,0.03150133198732768,0.02530602601323229,0.020296302174875387,0.015093010895591235,0.011874688113712884,0.010184533674684396,0.0071682970974362575,0.006302654863158354,0.004017212507232247,0.003384861816017064,0.0025971758124111117,0.001981446244535741,0.0015010341715744056,0.0010483353124566396,0.0007511614492123412,0.000407369831407966,0.0003671359051726952,0.00029126714014143085,0.00015345248763084385,0.00010337189920217928,4.252250861293367e-05
.AORD,137,SAS_diff,2,1000,4.0111835172393375,2,3,5,331.65726290815076,143.06494219758324,119.06870386167203,63.67274822245537,36.849244625454595,29.826461438438386,15.040801858457407,12.751417878680593,7.6482254002991015,6.108453023290916,3.420829144921911,2.672872281884259,1.8462492864799278,1.3156460675925485,1.0606251152995871,0.7366233890495071,0.5024370293122269,0.4793600816660704,0.3366737943755756,0.25579728873349034,0.21219531579351933,0.17013457946056207,0.1354636575646079,0.1258405283688321,0.10577424541904755,0.06954950811394478,0.05941310959432457,0.047899236200613426,0.042016621131223904,0.034432394384648984,0.028489768780762127,0.018703988044618158,0.014032577856220604,0.011704498404399076,0.011609937655234423,0.008143698677616511,0.006459818284333945,0.0034777303392121883,0.0027936923583547837,0.001735801857043136,0.0012847384739411176,0.0010110361579340336,0.0008612472430213551,0.0004918798797783673,0.00030294298075966126,0.000249452546515109,0.00014028064591372177,0.00012597141749982692,5.6105462021713184e-05,4.124764238042874e-05
.AORD,137,SAS_q1,1,1003,2.6871131798070644,2,2,3,189.50233560973652,102.83519163437296,30.272289335939877,17.278996786176933,8.002979337856464,3.408121988390499,2.022584078837152,1.432434976207394,0.988275604136481,0.9030863069679528,0.36654958297495677,0.3389637771756658,0.212314812792015,0.17212250308901306,0.1492107709528392,0.10157403058482968,0.08346392553597153,0.06320722966851451,0.055248309873256796,0.035320558194327355,0.030680901489720764,0.024226013475858156,0.013441928380356464,0.011179381118988042,0.007302796689560063,0.00634178445912901,0.005037487205308969,0.004417987336580734,0.0021296631375636844,0.0015382219968694227,0.0013540585567040266,0.0010655539892598987,0.0006160508814131378,0.0005084105830350298,0.0003547791098116103,0.00021424884662329114,0.0001811555707198147,0.00014385091402354034,6.18813541560103e-05,5.601428510489107e-05,3.677599944858587e-05,3.273617396802972e-05,1.0782665189287783e-05,6.6723337994267885e-06,3.529377887279563e-06,2.5538752028364546e-06,2.194570476822069e-06,9.025503078960605e-07,5.729751467197101e-07,1.1374565394052506e-07
.AORD,256,DGP,2,256,4.475531106316046,2,4,6,320.87781976424486,186.37007419228368,133.69368916645092,72.5960859861247,39.479219996294304,32.240380124424505,23.521170154803503,15.400201080578924,10.596636611855862,6.850655019368311,5.090184617593018,3.5280776509004634,1.9303362638160537,1.449906317218373,1.3523033214204887,0.6172565914709027,0.4984168905408596,0.3773462127233946,0.32854188052488603,0.2102519848352644,0.18579425540569233,0.16385276922869094,0.13428980658245937,0.09153373626915386,0.08379008061478523,0.049405397474286954,0.03636592739266495,0.02718025706461933,0.023659826154496404,0.015443721514379139,0.012971686023650656,0.010590740150238753,0.006537237529696462,0.004607745816719953,0.0038648869459964124,0.0022128245521752304,0.0016865365372859841,0.0011812165748839708,0.0008597340797219245,0.0007494735357816791,0.00047123594658351884,0.00028371169616237197,0.0002572418692532176,0.00017037761944721318,0.00016721499744744623,9.367948039256763e-05,7.14116138112269e-05,2.2625041184055753e-05,1.9958837107003582e-05,1.4121849502239987e-05
