symbol,model,stable,mse_h1,mse_h5,mse_h10,mse_avg
.AEX,HAR,False,0.2573734372473116,0.39544443982404937,0.49512879676434923,0.3826488912785701
.AEX,p0_q1_n200_sn95,False,0.2577744058946925,0.41002007069696844,0.4937912719652259,0.3871952495189623
.AEX,p0_q2_n200_sn95,False,0.2564755818262207,0.39843489949001387,0.4875233120982782,0.38081126447150426
.AEX,p1_q0_n200_sn95,False,0.2766326670869694,5.075847700244702,0.5224326541081029,1.9583043404799245
.AEX,p1_q1_n200_sn95,False,0.25844861228284904,0.3948737873789647,0.49673572703390134,0.38335270889857176
.AEX,p1_q2_n200_sn95,False,0.25573261744204945,0.3941616799793884,0.48681106495912646,0.3789017874601881
.AORD,HAR,True,0.395752964077545,0.48365356796037257,0.5515814094867199,0.47699598050821246
.AORD,p0_q1_n200_sn95,True,0.39130676297591793,0.4811143232456128,0.5444805745140348,0.47230055357852185
.AORD,p0_q2_n200_sn95,True,0.3912177520072708,0.49075094241426565,0.554877465071499,0.47894871983101184
.AORD,p1_q0_n200_sn95,True,0.40984196139777435,1.2635989148249362,0.6936440237601549,0.7890282999942885
.AORD,p1_q1_n200_sn95,True,0.3933230856006128,0.48156401438245383,0.5485296270041072,0.474472242329058
.AORD,p1_q2_n200_sn95,True,0.3906486622723002,0.48600252022496604,0.556321237160732,0.4776574732193328
.BFX,HAR,True,0.27176221805534323,0.407678602468461,0.5046394141959775,0.39469341157326054
.BFX,p0_q1_n200_sn95,True,0.2724813572959219,0.4072627936568496,0.49966928183568676,0.3931378109294861
.BFX,p0_q2_n200_sn95,True,0.27149046330479887,0.40652107346470717,0.49179006703466976,0.3899338679347253
.BFX,p1_q0_n200_sn95,True,0.3200598738543352,0.6376735688216933,0.5126561567213117,0.49012986646578005
.BFX,p1_q1_n200_sn95,True,0.28392414569690155,0.4052114448181359,0.533926174950279,0.40768725515510545
.BFX,p1_q2_n200_sn95,True,0.2707389296685652,0.4058833516545604,0.4941171348756691,0.3902464720662649
.BSESN,HAR,True,0.3402769575874872,0.47392033361209335,0.5239420735932071,0.44604645493092915
.BSESN,p0_q1_n200_sn95,True,0.3369224574899856,0.46869121638608147,0.5146515138221551,0.44008839589940746
.BSESN,p0_q2_n200_sn95,True,0.3373968475456449,0.46723612313504737,0.512208530591916,0.4389471670908694
.BSESN,p1_q0_n200_sn95,True,0.45349321423360867,0.5463712467644217,0.5602360586436761,0.5200335065472355
.BSESN,p1_q1_n200_sn95,True,0.3368717051071518,0.4765483073238401,0.5103994255101395,0.44127314598037715
.BSESN,p1_q2_n200_sn95,True,0.33712589552755107,0.467405434240167,0.5202132432002335,0.4415815243226506
