config,h1_count,h1_frac,h5_count,h5_frac,h10_count,h10_frac,total_count,avg_mse,high_var
HAR,2,0.07692307692307693,0,0.0,0,0.0,2,0.4658987746151489,False
p0_q1_n200_sn95,23,0.8846153846153846,21,0.8076923076923077,20,0.7692307692307693,64,0.4688417389506097,False
p0_q2_n200_sn95,19,0.7307692307692307,16,0.6153846153846154,13,0.5,48,0.4681413930066682,False
p1_q0_n200_sn95,0,0.0,3,0.11538461538461539,3,0.11538461538461539,6,0.6570366970800481,True
p1_q1_n200_sn95,26,1.0,25,0.9615384615384616,25,0.9615384615384616,76,0.46834494933341225,False
p1_q2_n200_sn95,18,0.6923076923076923,17,0.6538461538461539,15,0.5769230769230769,50,0.46589456889678993,False
