key,model,stable,mse_h1,mse_h5,mse_h10,mse_avg
.AEX_s42,HAR,True,0.25662954535548077,0.34822555076888423,0.41534239363176917,0.3400658299187114
.AEX_s42,NLinear,True,0.2560362762117221,0.3470613429694424,0.41710415925233013,0.34006725947783156
.AEX_s42,DLinear,True,0.2554999588647113,0.34857226650404843,0.4171950396391321,0.34042242166929726
.AEX_s42,GARCH,True,0.26367767690871163,0.38219840008403033,0.49550471042973565,0.38046026247415926
.AEX_s42,SAS_same,True,0.25650868368427004,0.35506019987880794,0.43252547521112494,0.3480314529247343
.AEX_s42,SAS_diff,True,0.2570583650076671,0.3602772910881364,0.44766246370830776,0.35499937326803704
.AEX_s42,SAS_q1,True,0.25491544211127776,0.35316588023056444,0.41604003345297935,0.34137378526494055
.AEX_s137,HAR,True,0.2855172488374829,0.38473914932768516,0.4800892729187391,0.3834485570279691
.AEX_s137,NLinear,True,0.2895708072179218,0.3928121361028506,0.49140480301931766,0.39126258211336334
.AEX_s137,DLinear,True,0.2867630152421467,0.38742725277047074,0.48280167807976343,0.38566398203079366
.AEX_s137,GARCH,True,0.28830564176768947,0.39795526520593405,0.5062690494682185,0.39750998548061406
.AEX_s137,SAS_same,True,0.28169803432711443,0.3964617626139829,0.48740873711280924,0.38852284468463555
.AEX_s137,SAS_diff,True,0.28204175307515383,0.4084907992197124,0.49729906593880335,0.39594387274455656
.AEX_s137,SAS_q1,True,0.28340463860459625,0.3854948339953246,0.47981586886536004,0.3829051138217603
.AEX_s256,HAR,True,0.26935997044432075,0.3710758926601177,0.4633560365088616,0.36793063320443337
.AEX_s256,NLinear,True,0.2715975200842763,0.37940728805249546,0.4830008439464737,0.3780018840277484
.AEX_s256,DLinear,True,0.2692546920081868,0.3717419386948413,0.4658242938236752,0.3689403081755678
.AEX_s256,GARCH,True,0.271369465306369,0.37844419794911527,0.47456723241122944,0.3747936318889045
.AEX_s256,SAS_same,True,0.2643633221933717,0.3670004884133354,0.46265627747455196,0.36467336269375306
.AEX_s256,SAS_diff,True,0.2645078829775324,0.36808067539312217,0.46221322094682665,0.3649339264391604
.AEX_s256,SAS_q1,True,0.26733511927658804,0.37214163309406817,0.4739539677918818,0.37114357338751264
.AORD_s42,HAR,True,0.5080914944261281,0.5768676175499218,0.6296791822081488,0.5715460980613996
.AORD_s42,NLinear,True,0.5131863534186758,0.5816772447272971,0.6410075548682909,0.5786237176714213
.AORD_s42,DLinear,True,0.511541138157785,0.578162347920395,0.630612617395747,0.5734387011579757
.AORD_s42,GARCH,True,0.5309095419475538,0.6268559776173004,0.7274925633705217,0.6284193609784586
.AORD_s42,SAS_same,True,0.5102711173988694,0.5770139975666492,0.6273250684271238,0.5715367277975475
.AORD_s42,SAS_diff,True,0.5117472994162254,0.5820009104521467,0.640819924734336,0.5781893782009028
.AORD_s42,SAS_q1,True,0.5093154933231369,0.5754944334456938,0.6290085964274666,0.5712728410654324
.AORD_s137,HAR,True,0.17381819628892536,0.2106353975863879,0.250825716110841,0.21175976999538473
.AORD_s137,NLinear,True,0.1753085977278778,0.21101398563789062,0.24993027925103845,0.21208428753893563
.AORD_s137,DLinear,True,0.17548780783393894,0.21142782033610538,0.2513002228742846,0.21273861701477634
.AORD_s137,GARCH,True,0.17913768485064277,0.22339067256294382,0.27182209588329753,0.2247834844322947
.AORD_s137,SAS_same,True,0.1757955246869603,0.22051841615445905,0.276722645968872,0.22434552893676382
.AORD_s137,SAS_diff,True,0.26913109520890577,0.21885188073781256,0.2746242009666907,0.25420239230446967
.AORD_s137,SAS_q1,True,0.18335485460913606,0.21622058833544774,0.2677287876158153,0.22243474352013304
.AORD_s256,HAR,True,0.4471995399074244,0.5182627210925675,0.5779385602600812,0.5144669404200243
.AORD_s256,NLinear,True,0.45148383323562163,0.5283855921849718,0.597271139083824,0.5257135215014724
.AORD_s256,DLinear,True,0.4493639825718991,0.5209984073999882,0.5827340970511591,0.5176988290076822
.AORD_s256,GARCH,True,0.45910421946898056,0.548864174980462,0.631092091670618,0.5463534953733535
.AORD_s256,SAS_same,True,0.4425101291992731,0.5152161422332877,0.5816638604798835,0.5131300439708147
.AORD_s256,SAS_diff,True,0.4427336848092722,0.5157870809130947,0.5811844502312733,0.5132350719845468
.AORD_s256,SAS_q1,True,0.4462455140257171,0.5173360693118263,0.5806209470362795,0.5147341767912743
.BFX_s42,HAR,True,0.37692376375795555,0.49560788761993474,0.5941661902345289,0.48889928053747306
.BFX_s42,NLinear,True,0.3799419443131706,0.5029708047850572,0.6140029801053719,0.49897190973453326
.BFX_s42,DLinear,True,0.3767068717793714,0.49651948105938604,0.5976022505673703,0.4902762011353759
.BFX_s42,GARCH,True,0.38280541981448113,0.5158263689827282,0.6426093146880998,0.5137470344951031
.BFX_s42,SAS_same,True,0.37695396939477066,0.498305319971747,0.5967957332253282,0.4906850075306153
.BFX_s42,SAS_diff,True,0.37677230242238346,0.49968807376308183,0.5979870075869615,0.4914824612574756
.BFX_s42,SAS_q1,True,0.39050199101215727,0.490885284917514,0.5988968123506071,0.49342802942675945
