config,h1_count,h1_frac,h5_count,h5_frac,h10_count,h10_frac,total_count,avg_mse,high_var
HAR,15,0.16666666666666666,69,0.7666666666666667,89,0.9888888888888889,173,0.48664866483643526,False
NLinear,4,0.044444444444444446,4,0.044444444444444446,3,0.03333333333333333,11,0.5003010418669206,False
DLinear,11,0.12222222222222222,40,0.4444444444444444,36,0.4,87,0.4887499772562501,False
GARCH,0,0.0,1,0.011111111111111112,1,0.011111111111111112,2,0.5147462226574868,False
SAS_same,44,0.4888888888888889,65,0.7222222222222222,47,0.5222222222222223,156,0.49913070733998727,True
SAS_diff,53,0.5888888888888889,76,0.8444444444444444,53,0.5888888888888889,182,0.4914128904282904,False
SAS_q1,78,0.8666666666666667,82,0.9111111111111111,54,0.6,214,0.5115868757072897,True
