config,h1_count,h1_frac,total_count,avg_mse,high_var
Noiseless,29,0.4027777777777778,29,0.5859855248889678,False
SAS_same_fixedλ,64,0.8888888888888888,64,0.5737182938364529,False
SAS_same_cvλ,60,0.8333333333333334,60,0.5817672333589345,False
SAS_diff,49,0.6805555555555556,49,0.5742583204301384,False
SAS_q1,48,0.6666666666666666,48,0.5850866418565972,False
HAR,4,0.05555555555555555,4,0.5838479725457676,False
DLinear,1,0.013888888888888888,1,0.5840358489952502,False
