key,model,stable,mse_h1,mse_avg
.AEX_s42,SAS_same_fixedλ,True,0.31638385580583217,0.31638385580583217
.AEX_s42,SAS_same_cvλ,True,0.31462070818350135,0.31462070818350135
.AEX_s42,SAS_diff,True,0.3156806371686352,0.3156806371686352
.AEX_s42,SAS_q1,True,0.31373804964737967,0.31373804964737967
.AEX_s42,HAR,True,0.31423638778377666,0.31423638778377666
.AEX_s42,DLinear,True,0.3158578505823215,0.3158578505823215
.AEX_s42,GARCH,True,0.3195647083781435,0.3195647083781435
.AEX_s42,Noiseless,True,0.23984802167002295,0.23984802167002295
.AEX_s137,SAS_same_fixedλ,True,0.3549663970601377,0.3549663970601377
.AEX_s137,SAS_same_cvλ,True,0.35492223854167143,0.35492223854167143
.AEX_s137,SAS_diff,True,0.3547528798948772,0.3547528798948772
.AEX_s137,SAS_q1,True,0.35871767306809305,0.35871767306809305
.AEX_s137,HAR,True,0.35876832201840847,0.35876832201840847
.AEX_s137,DLinear,True,0.3564555613172664,0.3564555613172664
.AEX_s137,GARCH,True,0.36267180150856,0.36267180150856
.AEX_s137,Noiseless,True,0.23369424992739404,0.23369424992739404
.AEX_s256,SAS_same_fixedλ,True,0.3515795918227639,0.3515795918227639
.AEX_s256,SAS_same_cvλ,True,0.35138888589104056,0.35138888589104056
.AEX_s256,SAS_diff,True,0.35399642972683215,0.35399642972683215
.AEX_s256,SAS_q1,True,0.3524777081817813,0.3524777081817813
.AEX_s256,HAR,True,0.35334458387473466,0.35334458387473466
.AEX_s256,DLinear,True,0.3553049222576448,0.3553049222576448
.AEX_s256,GARCH,True,0.359652866025234,0.359652866025234
.AEX_s256,Noiseless,True,0.23152113588094528,0.23152113588094528
.AORD_s42,SAS_same_fixedλ,True,0.458060765518135,0.458060765518135
.AORD_s42,SAS_same_cvλ,True,0.45886336602983446,0.45886336602983446
.AORD_s42,SAS_diff,True,0.46051567142504723,0.46051567142504723
.AORD_s42,SAS_q1,True,0.4575697374386204,0.4575697374386204
.AORD_s42,HAR,True,0.45974739976600254,0.45974739976600254
.AORD_s42,DLinear,True,0.45954684634976734,0.45954684634976734
.AORD_s42,GARCH,True,0.4744753411950291,0.4744753411950291
.AORD_s42,Noiseless,True,0.4159865023361392,0.4159865023361392
.AORD_s137,SAS_same_fixedλ,True,0.5020645256455917,0.5020645256455917
.AORD_s137,SAS_same_cvλ,True,0.5026030602658975,0.5026030602658975
.AORD_s137,SAS_diff,True,0.5027162224189401,0.5027162224189401
.AORD_s137,SAS_q1,True,0.5064199188003335,0.5064199188003335
.AORD_s137,HAR,True,0.5098105979062953,0.5098105979062953
.AORD_s137,DLinear,True,0.5056257161703238,0.5056257161703238
.AORD_s137,GARCH,True,0.5261622017368142,0.5261622017368142
.AORD_s137,Noiseless,True,0.4031418088450788,0.4031418088450788
.AORD_s256,SAS_same_fixedλ,True,0.5200480396991315,0.5200480396991315
.AORD_s256,SAS_same_cvλ,True,0.5195553094584628,0.5195553094584628
.AORD_s256,SAS_diff,True,0.5228639712954063,0.5228639712954063
.AORD_s256,SAS_q1,True,0.5207759711838567,0.5207759711838567
.AORD_s256,HAR,True,0.5244852182197881,0.5244852182197881
.AORD_s256,DLinear,True,0.5247113622841638,0.5247113622841638
.AORD_s256,GARCH,True,0.5412443441840643,0.5412443441840643
.AORD_s256,Noiseless,True,0.3990317836254712,0.3990317836254712
.BFX_s42,SAS_same_fixedλ,True,0.25231817368945125,0.25231817368945125
.BFX_s42,SAS_same_cvλ,True,0.2520815710403842,0.2520815710403842
.BFX_s42,SAS_diff,True,0.2529961070633023,0.2529961070633023
.BFX_s42,SAS_q1,True,0.25198955636243037,0.25198955636243037
.BFX_s42,HAR,True,0.2522521830386395,0.2522521830386395
.BFX_s42,DLinear,True,0.2529322128775758,0.2529322128775758
.BFX_s42,GARCH,True,0.2563422857332181,0.2563422857332181
.BFX_s42,Noiseless,True,0.2548717319178148,0.2548717319178148
.BFX_s137,SAS_same_fixedλ,True,0.31818222049715256,0.31818222049715256
.BFX_s137,SAS_same_cvλ,True,0.3183292865724353,0.3183292865724353
.BFX_s137,SAS_diff,True,0.31842409599685806,0.31842409599685806
.BFX_s137,SAS_q1,True,0.32035507054710494,0.32035507054710494
.BFX_s137,HAR,True,0.3222778126958517,0.3222778126958517
.BFX_s137,DLinear,True,0.3202162353296617,0.3202162353296617
.BFX_s137,GARCH,True,0.32683629491863264,0.32683629491863264
.BFX_s137,Noiseless,True,0.24753414735350784,0.24753414735350784
.BFX_s256,SAS_same_fixedλ,True,0.36254515547415234,0.36254515547415234
.BFX_s256,SAS_same_cvλ,True,0.36056167871090544,0.36056167871090544
.BFX_s256,SAS_diff,True,0.3626939462974929,0.3626939462974929
.BFX_s256,SAS_q1,True,0.3618919162946782,0.3618919162946782
.BFX_s256,HAR,True,0.361866631496628,0.361866631496628
.BFX_s256,DLinear,True,0.3637916616910036,0.3637916616910036
.BFX_s256,GARCH,True,0.36688264271668614,0.36688264271668614
.BFX_s256,Noiseless,True,0.24308881916556202,0.24308881916556202
.BSESN_s42,SAS_same_fixedλ,True,0.2774003788786131,0.2774003788786131
.BSESN_s42,SAS_same_cvλ,True,0.40557877190328095,0.40557877190328095
.BSESN_s42,SAS_diff,True,0.2787370818977598,0.2787370818977598
.BSESN_s42,SAS_q1,True,0.2783576298257831,0.2783576298257831
.BSESN_s42,HAR,True,0.2779301358842114,0.2779301358842114
.BSESN_s42,DLinear,True,0.27945904928425896,0.27945904928425896
.BSESN_s42,GARCH,True,0.284641124323783,0.284641124323783
.BSESN_s42,Noiseless,True,0.28460328909255694,0.28460328909255694
.BSESN_s137,SAS_same_fixedλ,True,0.3705125327650797,0.3705125327650797
.BSESN_s137,SAS_same_cvλ,True,0.37064140033629867,0.37064140033629867
.BSESN_s137,SAS_diff,True,0.37030115360277194,0.37030115360277194
.BSESN_s137,SAS_q1,True,0.3767507032864594,0.3767507032864594
.BSESN_s137,HAR,True,0.37784349119816896,0.37784349119816896
.BSESN_s137,DLinear,True,0.3753486589493254,0.3753486589493254
.BSESN_s137,GARCH,True,0.3906380484527876,0.3906380484527876
.BSESN_s137,Noiseless,True,0.2744073228247701,0.2744073228247701
.BSESN_s256,SAS_same_fixedλ,True,0.40489027596147176,0.40489027596147176
.BSESN_s256,SAS_same_cvλ,True,0.4039788184944305,0.4039788184944305
.BSESN_s256,SAS_diff,True,0.4068702379363755,0.4068702379363755
.BSESN_s256,SAS_q1,True,0.4054856844326882,0.4054856844326882
.BSESN_s256,HAR,True,0.40567983394717855,0.40567983394717855
.BSESN_s256,DLinear,True,0.40833753950612045,0.40833753950612045
.BSESN_s256,GARCH,True,0.4170819842666447,0.4170819842666447
.BSESN_s256,Noiseless,True,0.27141619591361116,0.27141619591361116
.BVSP_s42,SAS_same_fixedλ,True,0.4512129241998361,0.4512129241998361
.BVSP_s42,SAS_same_cvλ,True,0.4504974026319717,0.4504974026319717
.BVSP_s42,SAS_diff,True,0.4515432769002709,0.4515432769002709
.BVSP_s42,SAS_q1,True,0.44930678889998893,0.44930678889998893
.BVSP_s42,HAR,True,0.44999917484089513,0.44999917484089513
