key,model,stable,mse_h1,mse_h5,mse_h10,mse_avg
.AEX_s42,HAR,True,0.25626276372682816,0.34772427941594214,0.41474952164765927,0.3395788549301432
.AEX_s42,DLinear,True,0.25514078539479174,0.3480749528415289,0.4166001890503215,0.33993864242888067
.AEX_s42,SAS_diff,True,0.2560972618745373,0.36819069356545686,0.44677960307782233,0.35702251950593883
.AEX_s42,SAS_q1,True,0.26370978599253625,0.34928373361792747,0.44959403357827343,0.3541958510629124
.AEX_s137,HAR,True,0.2855291434824566,0.38474839429626806,0.4801003589892898,0.3834592989226715
.AEX_s137,DLinear,True,0.286786710844326,0.3874237133861439,0.48280871288222715,0.38567304570423233
.AEX_s137,SAS_diff,True,0.28244787647157255,0.40367687207295455,0.5013821131886836,0.3958356205777369
.AEX_s137,SAS_q1,True,0.2966038888315415,0.38647481612895596,0.7682671726428577,0.4837819592011184
.AEX_s256,HAR,True,0.26926914196719304,0.3709676123746724,0.4632319831235951,0.36782291248848686
.AEX_s256,DLinear,True,0.26916323046558577,0.37163294447042255,0.4657007562265686,0.36883231038752556
.AEX_s256,SAS_diff,True,0.2652561282882987,0.37051001154142865,0.46890882430704034,0.36822498804558923
.AEX_s256,SAS_q1,True,0.26764581981358676,0.40033767642419743,3.325627385167498,1.331203627135094
