key,model,stable,mse_h1,mse_avg
.AEX_s42,Noiseless,True,0.244726741552879,0.244726741552879
.AEX_s42,SAS_same_fixedλ,True,0.24661566249526645,0.24661566249526645
.AEX_s42,SAS_same_cvλ,True,0.246549418830814,0.246549418830814
.AEX_s42,SAS_diff,True,0.24541973587471744,0.24541973587471744
.AEX_s42,SAS_q1,True,0.2467761377020552,0.2467761377020552
.AEX_s42,HAR,True,0.24712940943766834,0.24712940943766834
.AEX_s42,DLinear,True,0.2467582106984048,0.2467582106984048
.AEX_s42,GARCH,True,0.254019799043832,0.254019799043832
.AEX_s137,Noiseless,True,0.19059190230916787,0.19059190230916787
.AEX_s137,SAS_same_fixedλ,True,0.19081885021542533,0.19081885021542533
.AEX_s137,SAS_same_cvλ,True,0.19060717618947348,0.19060717618947348
.AEX_s137,SAS_diff,True,0.1906403183192714,0.1906403183192714
.AEX_s137,SAS_q1,True,0.19378367642798416,0.19378367642798416
.AEX_s137,HAR,True,0.19758163695257133,0.19758163695257133
.AEX_s137,DLinear,True,0.19743029966145442,0.19743029966145442
.AEX_s137,GARCH,True,0.19794284642998355,0.19794284642998355
.AEX_s256,Noiseless,True,0.21281741740103732,0.21281741740103732
.AEX_s256,SAS_same_fixedλ,True,0.21348300814069998,0.21348300814069998
.AEX_s256,SAS_same_cvλ,True,0.21344808949382474,0.21344808949382474
.AEX_s256,SAS_diff,True,0.21365364551264152,0.21365364551264152
.AEX_s256,SAS_q1,True,0.216769038482461,0.216769038482461
.AEX_s256,HAR,True,0.21855912297426278,0.21855912297426278
.AEX_s256,DLinear,True,0.21807394179260634,0.21807394179260634
.AEX_s256,GARCH,True,0.21998193133026084,0.21998193133026084
.AORD_s42,Noiseless,True,0.5399349694416598,0.5399349694416598
.AORD_s42,SAS_same_fixedλ,True,0.5423155470957156,0.5423155470957156
.AORD_s42,SAS_same_cvλ,True,0.5417472430320025,0.5417472430320025
.AORD_s42,SAS_diff,True,0.5403093706984646,0.5403093706984646
.AORD_s42,SAS_q1,True,0.5403260613852815,0.5403260613852815
.AORD_s42,HAR,True,0.5416676644841468,0.5416676644841468
.AORD_s42,DLinear,True,0.5423958014556879,0.5423958014556879
.AORD_s42,GARCH,True,0.5536824397876248,0.5536824397876248
.AORD_s137,Noiseless,True,0.4058443357993726,0.4058443357993726
.AORD_s137,SAS_same_fixedλ,True,0.404388870976484,0.404388870976484
.AORD_s137,SAS_same_cvλ,True,0.40431723263964636,0.40431723263964636
.AORD_s137,SAS_diff,True,0.4041063185183383,0.4041063185183383
.AORD_s137,SAS_q1,True,0.4093822816648341,0.4093822816648341
.AORD_s137,HAR,True,0.4130317500308737,0.4130317500308737
.AORD_s137,DLinear,True,0.4156897484577357,0.4156897484577357
.AORD_s137,GARCH,True,0.42020185621536527,0.42020185621536527
.AORD_s256,Noiseless,True,0.4811551942879936,0.4811551942879936
.AORD_s256,SAS_same_fixedλ,True,0.48097287780435977,0.48097287780435977
.AORD_s256,SAS_same_cvλ,True,0.4810367976287071,0.4810367976287071
