symbol,model,stable,mse_h1,mse_h5,mse_h10,mse_avg
.AEX,HAR,True,0.28848711712851516,0.4480542547577032,0.6047357840676602,0.44709238531795953
.AEX,NLinear,True,0.2852039479219636,0.430336149832078,0.5707531200171303,0.42876440592372395
.AEX,DLinear,True,0.2878616439495929,0.4482851638419625,0.6137408738952636,0.44996256056227296
.AEX,GARCH,True,0.28926652125532715,0.4676301642523433,0.6728251995940553,0.47657396170057525
.AEX,SAS_same,True,0.2784358884178494,0.4340199738610662,0.6372096344063269,0.44988849889508087
.AEX,SAS_diff,True,0.27681105303544584,0.4252421297061217,0.6150619029023385,0.439038361881302
.AORD,HAR,True,0.6392885756407034,0.7527541544702898,0.8367657083445237,0.742936146151839
.AORD,NLinear,True,0.6444478961321133,0.7633838218581684,0.869661311512955,0.7591643431677456
.AORD,DLinear,True,0.6390058524420497,0.7535298486672902,0.8489282327487276,0.7471546446193559
.AORD,GARCH,True,0.651043004271261,0.7998914153069979,0.9531818741749406,0.8013720979177332
.AORD,SAS_same,True,0.6332639525375293,0.7477364110511675,0.8404412567913163,0.7404805401266711
.AORD,SAS_diff,True,0.6325436710695738,0.7452944149903257,0.835311265402434,0.7377164504874445
.BFX,HAR,True,0.4724641244783917,0.6542926442626283,0.796018865021162,0.6409252112540607
.BFX,NLinear,True,0.47972123641463565,0.6752886278277461,0.8389587444659591,0.6646562029027803
.BFX,DLinear,True,0.47196624781334495,0.6548218580713435,0.8032582560769069,0.6433487873205318
.BFX,GARCH,True,0.47242723426987554,0.666367253666072,0.8385269632712111,0.6591071504023862
.BFX,SAS_same,True,0.46758332855112406,0.6465835204964585,0.789650617727097,0.6346058222582265
.BFX,SAS_diff,True,0.465813352867717,0.6450429272698712,0.7813049062067371,0.6307203954481085
.BSESN,HAR,True,0.5304353403993859,0.7203379952782348,0.8417888485505202,0.6975207280760469
.BSESN,NLinear,True,0.5363687452613973,0.7357987596770187,0.8767439347387928,0.7163038132257363
.BSESN,DLinear,True,0.5287768385264945,0.7210662208662556,0.860372041695786,0.7034050336961787
.BSESN,GARCH,True,0.5328864991168764,0.748739166284216,0.9207952745434942,0.7341403133148622
.BSESN,SAS_same,True,0.517992001939079,0.7004962009786283,0.8421007433220484,0.6868629820799187
.BSESN,SAS_diff,True,0.5171154925208901,0.694630335855992,0.8254187372843699,0.6790548552204173
.BVSP,HAR,True,0.08585640886877877,0.1487733109686464,0.25008593559255876,0.161571885143328
.BVSP,NLinear,True,0.07536504162859288,0.09667333673626874,0.1238245264594651,0.09862096827477558
.BVSP,DLinear,True,0.08627536576549519,0.15394298455862349,0.2671434842983404,0.1691206115408197
.BVSP,GARCH,True,0.09421792106960197,0.20188179947456816,0.3980019680396415,0.2313672295279372
.BVSP,SAS_same,True,0.07600424910750112,0.12147517782563183,0.1988864731077795,0.13212196668030415
.BVSP,SAS_diff,True,0.07506156896214437,0.116737250144476,0.1857449995800904,0.12584793956223692
.DJI,HAR,True,0.5060013927943013,0.6854820039537654,0.813622506988096,0.6683686345787209
.DJI,NLinear,True,0.5087768133732558,0.6977288542900946,0.8451824659594441,0.6838960445409316
.DJI,DLinear,True,0.5038702727856323,0.685593995739662,0.8231197782710602,0.6708613489321182
.DJI,GARCH,True,0.5071452100116647,0.7112625874110313,0.8865827541069445,0.7016635171765468
.DJI,SAS_same,True,0.4998482505837814,0.6746689188953061,0.8168223728969427,0.6637798474586768
.DJI,SAS_diff,True,0.4988946542607069,0.6708642065534451,0.8094481346526331,0.659735665155595
.FCHI,HAR,True,0.41446264192353977,0.5870695211966888,0.7230043258874614,0.5748454963358967
.FCHI,NLinear,True,0.4203028702841115,0.6013100328664323,0.7506371485599989,0.5907500172368475
.FCHI,DLinear,True,0.4149820534717773,0.5881284715308472,0.7300397127707423,0.5777167459244555
.FCHI,GARCH,True,0.4150411792804304,0.6012204410785977,0.7706430628029475,0.5956348943873252
.FCHI,SAS_same,True,0.4103319510883146,0.5775063853804938,0.7212989367477273,0.569712424405512
.FCHI,SAS_diff,True,0.4088030774201089,0.5741071789452107,0.7105758917016911,0.5644953826890036
.FTMIB,HAR,True,0.5558352139619175,0.7225812402188926,0.8408796086518994,0.7064320209442365
.FTMIB,NLinear,True,0.5648419782835399,0.7443795981804512,0.891907287973626,0.7337096214792057
.FTMIB,DLinear,True,0.55471654381098,0.7216859926445659,0.8481956230097537,0.7081993864884332
.FTMIB,GARCH,True,0.5595066380680933,0.7465505963425967,0.9011284090155833,0.7357285478087577
.FTMIB,SAS_same,True,0.5497986126650443,0.7169712402121695,0.8531578084914758,0.7066425537895632
.FTMIB,SAS_diff,True,0.5495355060419805,0.7145061087823493,0.8481557929139121,0.704065802579414
.FTSE,HAR,True,0.5202448729446157,0.6759399946472542,0.7984244563650293,0.6648697746522998
.FTSE,NLinear,True,0.5237460982516547,0.6866346676764442,0.8282241537101482,0.679534973212749
.FTSE,DLinear,True,0.5185336164677412,0.6763501503535432,0.8075920510209953,0.6674919392807599
.FTSE,GARCH,True,0.5231195773606246,0.7035647660565465,0.8755904586862808,0.7007582673678173
.FTSE,SAS_same,True,0.5157904502759386,0.6695594886494789,0.8041756352437026,0.6631751913897067
.FTSE,SAS_diff,True,0.5143959510108552,0.665390158520137,0.7963800206297201,0.6587220433869042
.GDAXI,HAR,True,0.28573300681826347,0.44030800146115623,0.5961382139031598,0.4407264073941932
.GDAXI,NLinear,True,0.2825093131644958,0.4207629413880516,0.5609092758862185,0.4213938434795887
.GDAXI,DLinear,True,0.2858568714789442,0.4415423174434919,0.6064662327629405,0.4446218072284589
.GDAXI,GARCH,True,0.2885427355845652,0.46729342039210253,0.6917952705520822,0.48254380884291664
.GDAXI,SAS_same,True,0.28008169650551734,0.4331951399498053,0.6199593761467764,0.4444120708673663
.GDAXI,SAS_diff,True,0.2790264566587289,0.42770608888172845,0.6079506415466721,0.4382277290290431
.GSPTSE,HAR,True,0.6065689787498928,0.7390596692612532,0.8281765507756356,0.7246017329289272
.GSPTSE,NLinear,True,0.6114940919725275,0.7497757815864842,0.8587321949647261,0.7400006895079126
.GSPTSE,DLinear,True,0.6053026633149177,0.740275391815686,0.8410746353329178,0.7288842301545072
.GSPTSE,GARCH,True,0.6164777146318688,0.7888368552863576,0.9490615768889282,0.7847920489357182
.GSPTSE,SAS_same,True,0.5967159961094246,0.7315072481937044,0.8316871967720885,0.7199701470250724
.GSPTSE,SAS_diff,True,0.5968637284866829,0.7292810440054431,0.8264225454928413,0.7175224393283225
.HSI,HAR,True,0.5498080740039876,0.7064845204445384,0.822404449659148,0.692899014702558
.HSI,NLinear,True,0.54993448227137,0.7096692928300126,0.839367629876129,0.6996571349925039
.HSI,DLinear,True,0.5475043230153441,0.7079563339153352,0.834939121236948,0.6967999260558758
.HSI,GARCH,True,0.5539615930702422,0.7501998308488345,0.9414745459259093,0.7485453232816619
