config,h1_count,h1_frac,h5_count,h5_frac,h10_count,h10_frac,total_count,avg_mse,high_var
HAR,14,0.4666666666666667,26,0.8666666666666667,29,0.9666666666666667,69,0.6475510637282696,False
NLinear,2,0.06666666666666667,1,0.03333333333333333,1,0.03333333333333333,4,0.6630258773857053,False
DLinear,23,0.7666666666666667,19,0.6333333333333333,0,0.0,42,0.6506599649179493,False
GARCH,2,0.06666666666666667,0,0.0,0,0.0,2,0.68317864438538,False
SAS_same,28,0.9333333333333333,29,0.9666666666666667,26,0.8666666666666667,83,0.6429139891188281,False
SAS_diff,28,0.9333333333333333,19,0.6333333333333333,20,0.6666666666666666,67,0.6386740375965894,False
