key,model,stable,mse_h1,mse_h5,mse_h10,mse_avg
.AEX_s42,HAR,True,0.25626276372682816,0.34772427941594214,0.41474952164765927,0.3395788549301432
.AEX_s42,NLinear,True,0.25566686116182125,0.34653729162390234,0.41648237216592326,0.33956217498388225
.AEX_s42,DLinear,True,0.25514078539479174,0.3480749528415289,0.4166001890503215,0.33993864242888067
.AEX_s42,GARCH,True,0.2633051296787991,0.3816840341439036,0.4949383971295917,0.37997585365076486
.AEX_s42,SAS_same,True,0.25633420676807117,0.35428760180892166,0.4321721991540884,0.34759800257702705
.AEX_s42,SAS_diff,True,0.2560972618745373,0.36819069356545686,0.44677960307782233,0.35702251950593883
.AEX_s42,SAS_q1,True,0.25842080795895866,0.5891956274892293,0.5768413711063357,0.4748192688515078
.AEX_s137,HAR,False,0.2855291434824566,0.38474839429626806,0.4801003589892898,0.3834592989226715
.AEX_s137,NLinear,False,0.289583484229536,0.39282063922066157,0.491415742963385,0.39127328880452755
.AEX_s137,DLinear,False,0.286786710844326,0.3874237133861439,0.48280871288222715,0.38567304570423233
.AEX_s137,GARCH,False,0.28831624950448026,0.3979591610505296,0.5062702810001803,0.3975152305183967
.AEX_s137,SAS_same,False,0.2817088428321699,0.3964480610138964,0.4873809607444401,0.3885126215301688
.AEX_s137,SAS_diff,False,0.28225640817183195,0.4084555687719246,0.49734988381386414,0.39602062025254026
.AEX_s137,SAS_q1,False,0.28346200439384783,1040.9851069302722,1.7241342053869568,347.66423438001766
.AEX_s256,HAR,True,0.26926914196719304,0.3709676123746724,0.4632319831235951,0.36782291248848686
.AEX_s256,NLinear,True,0.27150424617724345,0.3792928718516749,0.48286571732650185,0.37788761178514
.AEX_s256,DLinear,True,0.26916323046558577,0.37163294447042255,0.4657007562265686,0.36883231038752556
.AEX_s256,GARCH,True,0.2712771567327361,0.37833367624838765,0.4744385311572244,0.3746831213794494
.AEX_s256,SAS_same,True,0.26427275205129025,0.3669247982688168,0.46255773875279954,0.36458509635763553
.AEX_s256,SAS_diff,True,0.2644183782227748,0.3680217723180179,0.4621936452180019,0.3648779319195982
.AEX_s256,SAS_q1,True,0.2671966005896902,0.3793376335436768,0.8915186967159614,0.5126843102831095
